students file: ../600_students/f_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 27
1640104237_1649972349 14
1649972349_1649972459 14
1649972459_1533467002 14
552449847_1533467002 12
1649972016_1533476090 10
1533476090_4188372130 10
552450062_6766624209 10
6766624209_1568670974 10
1568670974_552449847 10
6808309463_181627258 10
1640109957_1640104233 8
1640104233_1640104237 8
1640109952_1640118156 7
1640118156_1640118197 7
1640118197_1533476114 7
1533476114_1649972206 7
1649972206_1533476118 7
1533476118_1649972016 7
4188372130_552450062 7
1658513408_1650035996 7
1650035996_1640104238 7
181657835_1649972097 7
1649972097_1640110025 7
1640110025_1640109957 7
1640104238_1640104234 7
1640104234_1640104235 7
1640104235_1640104237 7
1533468569_6808154773 7
1640104237_1649972260 6
1649972260_6808154773 6
1533469125_1533468569 6
1640118178_1649972065 5
1640110023_1649972041 5
1649972041_1640109950 5
1640109950_1640109952 5
1640109950_1640109962 5
1658502014_6779375099 5
6779375099_835353029 5
1650035939_1640109980 5
1640109980_181657835 5
835353029_835353018 5
835353018_552450457 5
7231742788_7231742789 5
552450457_7231742788 5
1649972327_1640110044 5
7231742789_1649972070 5
1640110044_1640110022 5
1649972070_1510920478 5
1640109962_1640109953 5
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 401
--------TIME--------
2:17:02.480598
