students file: ../1200_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1640104237_1649972349 30
1649972349_1649972459 30
1649972459_1533467002 30
1533467002_6779375098 29
552449847_1533467002 21
1533469125_1533468569 20
1649972351_1649972419 18
1649972419_4455406004 18
6808322562_1649972351 17
835352970_1640118120 16
1658513408_1650035996 14
1640110025_1640109957 14
1650035996_1640104238 14
1640104238_1640104234 14
1640104234_1640104235 14
1640109957_1640104233 14
1640104235_1640104237 14
1649972124_6779375094 14
552450801_4188372224 14
835352929_835352905 14
1533467002_6766624213 14
6766624213_1533469125 14
1649972097_1640110025 13
1640104233_1640104237 13
1649972016_1533476090 13
1533476090_4188372130 13
6779375096_835352929 13
835352905_1640118169 13
1640118169_835352970 13
1649972327_1640110044 13
1640110044_1640110022 13
6808309480_6808309481 13
1640109980_181657835 12
1533467002_552449847 12
552449847_1649972124 12
1649972061_5667387940 12
1510920511_6808309480 12
5667387940_5667387938 12
1650035939_1640109980 11
7231742788_7231742789 11
7231742789_7231742797 11
7231742797_5667358719 11
1649971995_6808322566 11
6808322566_6808322562 11
552450062_6766624209 11
6766624209_1568670974 11
1640118252_1658501579 11
1568670974_552449847 11
2155232272_2155232268 11
1533468569_6808154773 11
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1903
--------TIME--------
13:10:30.034225
