students file: ../60_students/t_students.txt, start: 07:30:00, end: 21:55:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 5
1649972349_1649972459 4
1649972459_1533467002 4
552449847_1533467002 4
1640109952_1640118156 3
1640118156_1640118197 3
1640118197_1533476114 3
1533476114_1649972206 3
1649972206_1533476118 3
1533476118_1649972016 3
1649972016_1533476090 3
1533476090_4188372130 3
4188372130_552450062 3
1640104237_1649972349 3
1533467002_552449847 3
552450062_6766624209 3
6766624209_1568670974 3
1568670974_552449847 3
1510920419_1650036363 3
1650036280_1739926764 3
1640110023_1649972041 2
1649972041_1640109950 2
1640109950_1640109952 2
1640109957_1640104233 2
1640104233_1640104237 2
835352905_1640118169 2
1640118169_835352970 2
835352970_1640118120 2
1649972123_1640118228 2
1640118228_1658519782 2
1658519782_4188372095 2
4188372095_1658501890 2
1658501890_1658519788 2
1658519788_1650036145 2
1658519801_1640118252 2
1658513408_1650035996 2
1640118178_1649972065 2
1650035996_1640104238 2
1640104238_1640104234 2
1649972065_1640118208 2
1640118208_1649972123 2
1640104234_1640104235 2
1640104235_1640104237 2
835352948_1649972301 2
1533468120_4188372225 2
4188372225_1568670971 2
4188372200_1568670971 2
1568670971_6808322296 2
552449847_1649972124 2
1640118252_1658501579 2
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 92
--------TIME--------
0:04:38.733094
