students file: ../60_students/w_students.txt, start: 07:30:00, end: 21:55:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 6
1640104237_1649972349 3
1649972349_1649972459 3
1649972459_1533467002 3
552449847_1533467002 3
1649941149_181657841 2
1658513408_1650035996 2
181657835_1649972097 2
1649972097_1640110025 2
1640110025_1640109957 2
1640109957_1640104233 2
1533467002_552449847 2
1640104233_1640104237 2
1650036119_899331985 2
899331985_4188371484 2
1640118182_1640118209 2
1640118209_1640118178 2
1640118178_1649972065 2
1649972065_1640118208 2
1640118208_1649972123 2
1649972123_1640118228 2
1640118228_1658519782 2
1658519782_4188372095 2
4188372095_1658501890 2
1658501890_1658519788 2
1658519788_1650036145 2
1533476114_1640118197 2
1649972198_1649972232 2
6779375098_1533467002 2
1533476074_6808322560 2
6808322560_6808322561 2
6808322561_3601319366 2
3601319366_3601319363 2
3601319363_7231742810 2
7231742810_7231742819 2
1650036145_4188372208 2
7231742819_5667358719 2
4188372200_1568670971 2
1640118245_1640118182 2
1640118120_835352970 2
835352905_835352929 2
1568670971_6808322296 2
835352929_6779375096 2
6779375096_4188372224 2
4188372224_552450801 2
552450801_6779375094 2
6808322296_835352948 2
6779375094_1649972124 2
1649972124_552449847 2
835352948_1649972301 2
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 101
--------TIME--------
0:05:59.374518
