students file: ../60_students/w_students.txt, start: 07:30:00, end: 21:55:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 3
7218580514_1640118163 3
1640104237_1649972349 2
1649941149_181657841 2
1658513408_1650035996 2
1649972349_1649972459 2
1649972459_1533467002 2
1650036119_899331985 2
835352929_835352905 2
552449847_1533467002 2
1649972198_1649972232 2
7231742819_5667358719 2
1533476090_1649972016 2
1649972016_1533468120 2
1533468120_1650036119 2
899331985_4188371484 2
4188371484_1649972223 2
1649972223_1658519806 2
1658519806_7218359000 2
7218359000_1649972262 2
1649972262_1650036165 2
1650036165_1649972258 2
1649972258_1640118200 2
1640118200_1640118266 2
1640118266_1649972225 2
1649972225_7218580514 2
1510920419_1650036363 2
1640118163_1640118245 2
5667387940_1649972061 2
1640109938_1640110041 2
1640110041_6789545859 2
1649941078_1640110032 2
1640110032_1640109984 2
1649941041_1649941069 2
1640109968_1640109986 2
1640109986_1640110021 2
181635151_1650036328 1
1650036328_1650036335 1
1650036335_1650036133 1
1650036133_1649941061 1
1649941061_1649941153 1
1649941153_1640118145 1
1640118145_1640118147 1
1640118147_1640118211 1
1640118211_1640118261 1
1640118261_181657849 1
181657849_181657841 1
181657841_181657835 1
181657835_1649972097 1
1649972097_1640110025 1
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 101
--------TIME--------
0:01:20.259720
