students file: ../1200_students/t_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1640104237_1649972349 33
1649972349_1649972459 31
1649972459_1533467002 31
552449847_1533467002 29
1533467002_6779375098 29
1649972016_1533476090 20
1533476090_4188372130 20
6766624209_1568670974 20
552450062_6766624209 17
1568670974_552449847 17
7231742797_5667358719 16
1640104233_1640104237 15
1649972419_4455406004 15
2155232272_2155232268 15
1649972097_1640110025 14
1640110025_1640109957 14
1640104235_1640104237 14
1640109957_1640104233 14
1640109952_1640118156 14
1640118156_1640118197 14
1640118197_1533476114 14
1533476114_1649972206 14
1649972206_1533476118 14
1533476118_1649972016 14
1640104238_1640104234 13
1640104234_1640104235 13
1658513408_1650035996 12
1650035996_1640104238 12
835352929_835352905 12
6808322562_1649972351 12
1649972351_1649972419 12
1650036064_1650036363 12
1649972124_6779375094 11
552450801_4188372224 11
6779375096_835352929 11
1533468569_6808154773 11
1649972260_6808154773 10
1640110044_1640110022 9
1640110022_1640118234 9
1640118234_1649972248 9
1649972248_1649972323 9
1649972323_1649972266 9
1649972266_1649971995 9
1649971995_6808322566 9
1650035939_1640109980 9
1640109980_181657835 9
181657835_1649972097 9
1649972041_1640109950 9
1640109950_1640109952 9
835352948_1649972301 9
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 1804
--------TIME--------
1:10:02.216298
