students file: ../12_students/r_students.txt, start: 07:30:00, end: 21:30:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 4
552449847_1533467002 3
1649972459_1533467002 2
1640109952_1640118156 2
1640118156_1640118197 2
1640118197_1533476114 2
1533476114_1649972206 2
1649972206_1533476118 2
1533476118_1649972016 2
1649972016_1533476090 2
1533476090_4188372130 2
552450062_6766624209 2
6766624209_1568670974 2
1568670974_552449847 2
1640118245_1640118163 1
1640118163_7218580514 1
7218580514_1649972225 1
1649972225_1640118266 1
1640118266_1640118200 1
1640118200_1649972258 1
1649972258_1650036165 1
1650036165_1649972262 1
1649972262_7218359000 1
7218359000_1658519806 1
1658519806_1640118254 1
1640118254_1649972339 1
1649972339_1640109955 1
1640109955_1640118156 1
1640110011_1640110000 1
1640110000_1640109960 1
1640118156_1640109958 1
1640109960_1640110008 1
1640110008_1640109966 1
1640109966_1640109993 1
1640109958_1650036141 1
1640109993_1640109968 1
1640109968_1650035939 1
1650035939_1640109980 1
1640109980_181657835 1
181657835_1649972097 1
1649972097_1640110025 1
1650036141_1640110007 1
1649972001_1649972402 1
1640110025_1640109957 1
1649972402_1640118127 1
1640118127_1640110039 1
1640110007_1640110062 1
1640109957_1640104233 1
1640110039_1640110051 1
1640118136_1640118224 1
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 20
--------TIME--------
0:00:18.475900
