students file: ../600_students/t_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1533467002_6779375098 19
1649972459_1533467002 14
1649972349_1649972459 13
1640104237_1649972349 12
552449847_1533467002 12
1649972016_1533476090 11
1533476090_4188372130 11
552450062_6766624209 11
6766624209_1568670974 11
1568670974_552449847 11
7231742797_5667358719 11
1640109952_1640118156 10
1640118156_1640118197 10
1640118197_1533476114 10
1533476114_1649972206 10
1649972206_1533476118 10
1533476118_1649972016 10
1640110023_1649972041 8
1649972041_1640109950 8
1640109950_1640109952 8
7231742789_7231742797 8
4188372130_552450062 7
1640118252_1658501579 7
1650036064_1650036363 7
1650036169_1650036344 7
1658513408_1650035996 6
1650035996_1640104238 6
1640104238_1640104234 6
1640104234_1640104235 6
1640104235_1640104237 6
1649972097_1640110025 6
1640110025_1640109957 6
1640109957_1640104233 6
1640104233_1640104237 6
835352929_835352905 6
835352970_1640118120 6
1649972260_6808154773 6
6779375099_835353029 6
835353018_552450457 6
7231742788_7231742789 6
1658501579_1650036064 6
1640118208_1640118180 6
1640118194_1640118186 6
1640118186_835353009 6
835353009_7231742788 6
7231742819_5667358719 6
1640109975_1640110023 5
1640109987_1649972133 5
181657835_1649972097 5
1640109968_1650035939 5
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 911
--------TIME--------
0:42:22.351141
