students file: ../6000_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
1649972349_1649972459 79
1649972459_1533467002 79
1640104237_1649972349 73
1649972016_1533476090 66
6766624209_1568670974 62
1658501588_3203441285 56
7231742797_5667358719 54
7218580514_1640118163 54
1533476090_4188372130 53
1640109952_1640118156 52
1640118156_1640118197 52
1533476118_1649972016 52
835352970_1640118120 52
1649972225_7218580514 52
1649972351_1649972419 49
1649972419_4455406004 49
1533469125_1533468569 49
835352929_835352905 48
1640109950_1640109952 47
7231742788_7231742789 47
7231742789_7231742797 47
1640104233_1640104237 46
1649972061_5667387940 46
5667387940_5667387938 46
1649972041_1640109950 45
552450801_4188372224 45
1533467002_6766624213 45
6766624213_1533469125 45
1658513408_1650035996 42
1640104238_1640104234 42
1650036064_1650036363 42
1640104234_1640104235 41
1640104235_1640104237 41
1510920511_6808309480 41
1640109957_1640104233 40
1640118200_1640118266 40
6789545859_1640110041 40
1640118252_1658501579 40
1640110041_1640109938 40
1658501579_1650036064 40
1640109938_1649972061 40
1640110023_1649972041 39
1649972097_1640110025 39
1640110025_1640109957 39
1650035996_1640104238 39
1649941111_1640109976 39
552449847_1533467002 39
1640118163_1640118245 39
1649972070_1510920478 36
6764767053_6808309463 36
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 9213
--------TIME--------
2:51:19.854374
