students file: ../12000_students/m_students.txt, start: 06:30:00, end: 23:59:00, N: 50
--------CROWDED EDGES--------
7231742797_5667358719 88
1649972349_1649972459 79
1649972016_1533476090 79
1649972459_1533467002 79
835352929_835352905 77
6766624209_1568670974 77
1640109957_1640104233 74
1640104233_1640104237 74
1640110025_1640109957 73
1640104237_1649972349 73
1650036064_1650036363 73
7218580514_1640118163 63
1649972070_1510920478 60
835352970_1640118120 59
1649972097_1640110025 57
835353018_552450457 57
7231742789_1649972070 57
6808322566_6808322562 56
6779375099_835353029 55
7231742810_7231742819 55
1640118252_1658501579 55
1640118120_1510920467 54
1510920467_1510920362 54
1510920362_1510920511 54
1533476090_4188372130 53
552449847_1649972124 53
1640109952_1640118156 51
1640118156_1640118197 51
1533476118_1649972016 51
1649972041_1640109950 50
1640109950_1640109952 50
1640118200_1640118266 50
4188372090_4188372100 50
1649972351_1649972419 49
1649972419_4455406004 49
1658513408_1650035996 48
7231742789_7231742797 48
6789545859_1640110041 48
6808309461_5664033045 48
1640104237_1649972260 47
1649972260_6808154773 47
1640104234_1640104235 45
1640104235_1640104237 45
552450801_4188372224 45
1640110041_1640109938 45
181657835_1650036049 44
1649972061_5667387940 44
1640109958_1640118197 43
1640104238_1640104234 42
1640110022_1640118234 42
--------LATE PERCENTAGE--------
percent late: 0.0
number late: 0
total classes: 18665
--------TIME--------
16:47:01.833067
